peripheral,type,driver_module,kernel_since,kconfig,source_path,status,effort,UC22,UC24,UC26,R,A,C,I
SPI0 Controller,spi,spi-pl022,v2.6.30,SPI_PL022,drivers/spi/spi-pl022.c,mainline,low,native,native,native,BSP Engineer,HW Architect,Upstream Team,PM / Integration
SPI1 Controller,spi,spi-pl022,v2.6.30,SPI_PL022,drivers/spi/spi-pl022.c,mainline,low,native,native,native,BSP Engineer,HW Architect,Upstream Team,PM / Integration
UART0 Controller,uart,amba-pl011,v2.6.15,SERIAL_AMBA_PL011,drivers/tty/serial/amba-pl011.c,mainline,low,native,native,native,BSP Engineer,HW Architect,Upstream Team,PM / Integration
UART1 Controller,uart,amba-pl011,v2.6.15,SERIAL_AMBA_PL011,drivers/tty/serial/amba-pl011.c,mainline,low,native,native,native,BSP Engineer,HW Architect,Upstream Team,PM / Integration
UART2 Controller,uart,amba-pl011,v2.6.15,SERIAL_AMBA_PL011,drivers/tty/serial/amba-pl011.c,mainline,low,native,native,native,BSP Engineer,HW Architect,Upstream Team,PM / Integration
GPIO07 Controller,gpio,gpio-pl061,v2.6.28,GPIO_PL061,drivers/gpio/gpio-pl061.c,mainline,low,native,native,native,BSP Engineer,HW Architect,Upstream Team,PM / Integration
GPIO12 Controller,gpio,gpio-pl061,v2.6.28,GPIO_PL061,drivers/gpio/gpio-pl061.c,mainline,low,native,native,native,BSP Engineer,HW Architect,Upstream Team,PM / Integration
GPIO13 Controller,gpio,gpio-pl061,v2.6.28,GPIO_PL061,drivers/gpio/gpio-pl061.c,mainline,low,native,native,native,BSP Engineer,HW Architect,Upstream Team,PM / Integration
GPIO14 Controller,gpio,gpio-pl061,v2.6.28,GPIO_PL061,drivers/gpio/gpio-pl061.c,mainline,low,native,native,native,BSP Engineer,HW Architect,Upstream Team,PM / Integration
GPIO00 Controller,gpio,gpio-pl061,v2.6.28,GPIO_PL061,drivers/gpio/gpio-pl061.c,mainline,low,native,native,native,BSP Engineer,HW Architect,Upstream Team,PM / Integration
GPIO01 Controller,gpio,gpio-pl061,v2.6.28,GPIO_PL061,drivers/gpio/gpio-pl061.c,mainline,low,native,native,native,BSP Engineer,HW Architect,Upstream Team,PM / Integration
GPIO02 Controller,gpio,gpio-pl061,v2.6.28,GPIO_PL061,drivers/gpio/gpio-pl061.c,mainline,low,native,native,native,BSP Engineer,HW Architect,Upstream Team,PM / Integration
