peripheral,type,driver_module,kernel_since,kconfig,source_path,maintainer,status,effort,UC22,UC24,UC26,R,A,C,I
SPI2 Controller,spi,spi-pl022,v2.6.30,SPI_PL022,drivers/spi/spi-pl022.c,Linus Walleij <linus.walleij@linaro.org>,mainline,low,native,native,native,BSP Engineer,HW Architect,Linus Walleij <linus.walleij@linaro.org>,PM / Integration
UART2 Controller,uart,amba-pl011,v2.6.15,SERIAL_AMBA_PL011,drivers/tty/serial/amba-pl011.c,Russell King <linux@armlinux.org.uk>,mainline,low,native,native,native,BSP Engineer,HW Architect,Russell King <linux@armlinux.org.uk>,PM / Integration
UART3 Controller,uart,amba-pl011,v2.6.15,SERIAL_AMBA_PL011,drivers/tty/serial/amba-pl011.c,Russell King <linux@armlinux.org.uk>,mainline,low,native,native,native,BSP Engineer,HW Architect,Russell King <linux@armlinux.org.uk>,PM / Integration
UART1 Controller,uart,amba-pl011,v2.6.15,SERIAL_AMBA_PL011,drivers/tty/serial/amba-pl011.c,Russell King <linux@armlinux.org.uk>,mainline,low,native,native,native,BSP Engineer,HW Architect,Russell King <linux@armlinux.org.uk>,PM / Integration
GPIO2 Controller,gpio,gpio-pl061,v2.6.28,GPIO_PL061,drivers/gpio/gpio-pl061.c,Linus Walleij <linus.walleij@linaro.org>,mainline,low,native,native,native,BSP Engineer,HW Architect,Linus Walleij <linus.walleij@linaro.org>,PM / Integration
GPIO1 Controller,gpio,gpio-pl061,v2.6.28,GPIO_PL061,drivers/gpio/gpio-pl061.c,Linus Walleij <linus.walleij@linaro.org>,mainline,low,native,native,native,BSP Engineer,HW Architect,Linus Walleij <linus.walleij@linaro.org>,PM / Integration
GPIO7 Controller,gpio,gpio-pl061,v2.6.28,GPIO_PL061,drivers/gpio/gpio-pl061.c,Linus Walleij <linus.walleij@linaro.org>,mainline,low,native,native,native,BSP Engineer,HW Architect,Linus Walleij <linus.walleij@linaro.org>,PM / Integration
PWM2 Controller,pwm,pwm-pl022,v3.6,PWM,drivers/pwm/,Thierry Reding <thierry.reding@gmail.com>,mainline,low,native,native,native,BSP Engineer,HW Architect,Thierry Reding <thierry.reding@gmail.com>,PM / Integration
USB Controller,usb,xhci-hcd,v2.6.31,USB_XHCI_HCD,drivers/usb/host/xhci.c,Mathias Nyman <mathias.nyman@intel.com>,mainline,low,native,native,native,BSP Engineer,HW Architect,Mathias Nyman <mathias.nyman@intel.com>,PM / Integration
USB2 Controller,usb,xhci-hcd,v2.6.31,USB_XHCI_HCD,drivers/usb/host/xhci.c,Mathias Nyman <mathias.nyman@intel.com>,mainline,low,native,native,native,BSP Engineer,HW Architect,Mathias Nyman <mathias.nyman@intel.com>,PM / Integration
ETHERNET Controller,ethernet,stmmac,v3.10,STMMAC_ETH,drivers/net/ethernet/stmicro/stmmac/,Giuseppe Cavallaro <peppe.cavallaro@st.com>,mainline,low,native,native,native,BSP Engineer,HW Architect,Giuseppe Cavallaro <peppe.cavallaro@st.com>,PM / Integration
ETHERNET1 Controller,ethernet,stmmac,v3.10,STMMAC_ETH,drivers/net/ethernet/stmicro/stmmac/,Giuseppe Cavallaro <peppe.cavallaro@st.com>,mainline,low,native,native,native,BSP Engineer,HW Architect,Giuseppe Cavallaro <peppe.cavallaro@st.com>,PM / Integration
ETHERNET2 Controller,ethernet,stmmac,v3.10,STMMAC_ETH,drivers/net/ethernet/stmicro/stmmac/,Giuseppe Cavallaro <peppe.cavallaro@st.com>,mainline,low,native,native,native,BSP Engineer,HW Architect,Giuseppe Cavallaro <peppe.cavallaro@st.com>,PM / Integration
CAN2 Controller,can,mcp251xfd,v5.6,CAN_MCP251XFD,drivers/net/can/spi/mcp251xfd/,Marc Kleine-Budde <mkl@pengutronix.de>,mainline,low,native,native,native,BSP Engineer,HW Architect,Marc Kleine-Budde <mkl@pengutronix.de>,PM / Integration
CAN1 Controller,can,mcp251xfd,v5.6,CAN_MCP251XFD,drivers/net/can/spi/mcp251xfd/,Marc Kleine-Budde <mkl@pengutronix.de>,mainline,low,native,native,native,BSP Engineer,HW Architect,Marc Kleine-Budde <mkl@pengutronix.de>,PM / Integration
MIPI_CSI2 Controller,mipi_csi,mipi-csi2,v5.9,VIDEO_MIPI_CSI2,drivers/media/,Mauro Carvalho Chehab <mchehab@kernel.org>,mainline,low,native,native,native,BSP Engineer,HW Architect,Mauro Carvalho Chehab <mchehab@kernel.org>,PM / Integration
MIPI_CSI Controller,mipi_csi,mipi-csi2,v5.9,VIDEO_MIPI_CSI2,drivers/media/,Mauro Carvalho Chehab <mchehab@kernel.org>,mainline,low,native,native,native,BSP Engineer,HW Architect,Mauro Carvalho Chehab <mchehab@kernel.org>,PM / Integration
MIPI_CSI1 Controller,mipi_csi,mipi-csi2,v5.9,VIDEO_MIPI_CSI2,drivers/media/,Mauro Carvalho Chehab <mchehab@kernel.org>,mainline,low,native,native,native,BSP Engineer,HW Architect,Mauro Carvalho Chehab <mchehab@kernel.org>,PM / Integration
MIPI_DSI Controller,mipi_dsi,dw-mipi-dsi,v4.9,DRM_DW_MIPI_DSI,drivers/gpu/drm/bridge/synopsys/dw-mipi-dsi.c,Philippe CORNU <philippe.cornu@foss.st.com>,mainline,low,native,native,native,BSP Engineer,HW Architect,Philippe CORNU <philippe.cornu@foss.st.com>,PM / Integration
PCIE Controller,pcie,pcie-dwc,v4.1,PCIE_DW_PLAT_HOST,drivers/pci/controller/dwc/,Jingoo Han <jingoohan1@gmail.com>,mainline,low,native,native,native,BSP Engineer,HW Architect,Jingoo Han <jingoohan1@gmail.com>,PM / Integration
EMMC Controller,emmc,sdhci,v2.6.17,MMC_SDHCI,drivers/mmc/host/sdhci.c,Adrian Hunter <adrian.hunter@intel.com>,mainline,low,native,native,native,BSP Engineer,HW Architect,Adrian Hunter <adrian.hunter@intel.com>,PM / Integration
SD Controller,sd,sdhci,v2.6.17,MMC_SDHCI,drivers/mmc/host/sdhci.c,Adrian Hunter <adrian.hunter@intel.com>,mainline,low,native,native,native,BSP Engineer,HW Architect,Adrian Hunter <adrian.hunter@intel.com>,PM / Integration
SD1 Controller,sd,sdhci,v2.6.17,MMC_SDHCI,drivers/mmc/host/sdhci.c,Adrian Hunter <adrian.hunter@intel.com>,mainline,low,native,native,native,BSP Engineer,HW Architect,Adrian Hunter <adrian.hunter@intel.com>,PM / Integration
I2S2 Controller,i2s,snd-soc-i2s,v2.6.29,SND_SOC,sound/soc/,Mark Brown <broonie@kernel.org>,mainline,low,native,native,native,BSP Engineer,HW Architect,Mark Brown <broonie@kernel.org>,PM / Integration
I2S Controller,i2s,snd-soc-i2s,v2.6.29,SND_SOC,sound/soc/,Mark Brown <broonie@kernel.org>,mainline,low,native,native,native,BSP Engineer,HW Architect,Mark Brown <broonie@kernel.org>,PM / Integration
ADC1 Controller,adc,iio-adc,v3.0,IIO,drivers/iio/adc/,Jonathan Cameron <jic23@kernel.org>,mainline,low,native,native,native,BSP Engineer,HW Architect,Jonathan Cameron <jic23@kernel.org>,PM / Integration
ADC2 Controller,adc,iio-adc,v3.0,IIO,drivers/iio/adc/,Jonathan Cameron <jic23@kernel.org>,mainline,low,native,native,native,BSP Engineer,HW Architect,Jonathan Cameron <jic23@kernel.org>,PM / Integration
RTC0 Controller,rtc,rtc-ds1307,v2.6.22,RTC_DRV_DS1307,drivers/rtc/rtc-ds1307.c,Alexandre Belloni <alexandre.belloni@bootlin.com>,mainline,low,native,native,native,BSP Engineer,HW Architect,Alexandre Belloni <alexandre.belloni@bootlin.com>,PM / Integration
LVDS Controller,lvds,lvds-codec,v5.0,DRM_LVDS_CODEC,drivers/gpu/drm/bridge/lvds-codec.c,Laurent Pinchart <laurent.pinchart@ideasonboard.com>,mainline,low,native,native,native,BSP Engineer,HW Architect,Laurent Pinchart <laurent.pinchart@ideasonboard.com>,PM / Integration
